participant_id,session_id,condition,total_session_duration_ms,num_disengagement_events,num_resumed_events,reengagement_success_rate,median_resume_latency_ms,mean_resume_latency_ms,effective_focused_time_ms,effective_focused_time_ratio,num_nonverbal_only_success,num_voice_escalations,num_voice_success,num_highlight_events
wenfei,session_20260404_wenfei_b3c248,with_system,119117.5,1,1,1.0,7940.0,7940.0,111177.5,0.9333,1,0,0,0
wenfei,session_20260404_wenfei_da758b,with_system,1046680.7,6,6,1.0,6100.0,9573.3,989240.7,0.9451,0,6,6,6
wenfei,session_20260404_wenfei_e35d86,with_system,440158.0,1,1,1.0,5950.0,5950.0,434208.0,0.9865,0,1,1,1
wenfei,session_20260404_wenfei_e4f891,with_system,732487.1,6,6,1.0,10135.0,14340.0,646447.1,0.8825,1,5,5,5
wenfei,session_20260404_wenfei_f6b494,with_system,191258.7,0,0,,,,191258.7,1.0,0,0,0,0
wenfei,session_20260404_wenfei_f8def5,with_system,2120032.4,15,14,0.9333,6070.0,10145.0,1930212.4,0.9105,11,4,3,4
2,session_20260407_2_31d9ea,with_system,147188.5,0,0,,,,147188.5,1.0,0,0,0,0
wen,session_20260407_wen_7a5639,with_system,5598169.1,3,1,0.3333,21080.0,21080.0,5480739.1,0.979,1,2,0,2
wenfei,session_20260407_wenfei_075d30,with_system,131791.4,1,1,1.0,4770.0,4770.0,127021.4,0.9638,1,0,0,0
wenfei,session_20260407_wenfei_19eff7,with_system,131547.9,1,1,1.0,11690.0,11690.0,119857.9,0.9111,1,0,0,0
wenfei,session_20260407_wenfei_456fc4,with_system,80277.1,1,1,1.0,11400.0,11400.0,68877.1,0.858,1,0,0,0
wenfei,session_20260407_wenfei_77b763,with_system,958885.8,1,1,1.0,12970.0,12970.0,945915.8,0.9865,1,0,0,0
wenfei,session_20260407_wenfei_832d9e,with_system,180215.4,1,1,1.0,15980.0,15980.0,164235.4,0.9113,0,1,1,1
wenfei,session_20260407_wenfei_94ffa4,with_system,201679.5,1,1,1.0,6140.0,6140.0,195539.5,0.9696,1,0,0,0
wenfei,session_20260407_wenfei_9ff724,with_system,60390.1,1,0,0.0,,,60390.1,1.0,0,0,0,0
wenfei,session_20260407_wenfei_dbd271,with_system,142106.9,1,1,1.0,4670.0,4670.0,137436.9,0.9671,1,0,0,0
wen,session_20260408_wen_29b647,with_system,221914.7,3,2,0.6667,7770.0,7770.0,158934.7,0.7162,2,0,0,0
wen,session_20260408_wen_324e21,with_system,664973.8,7,5,0.7143,6070.0,10958.0,513443.8,0.7721,5,1,0,1
wen,session_20260408_wen_47aab1,with_system,758017.1,16,15,0.9375,10840.0,11608.7,583887.1,0.7703,14,1,1,1
wen,session_20260408_wen_53bfb5,with_system,287433.0,5,4,0.8,6930.0,16225.0,222533.0,0.7742,4,0,0,0
wenfei1,session_20260408_wenfei1_756852,with_system,135888.2,3,2,0.6667,5070.0,5070.0,125748.2,0.9254,2,0,0,0
wenfei,session_20260408_wenfei_49c3a8,with_system,48727.1,0,0,,,,48727.1,1.0,0,0,0,0
1,session_20260409_1_629e89,with_system,364313.3,5,5,1.0,8280.0,12998.0,299323.3,0.8216,5,0,0,0
2,session_20260409_2_5f15da,with_system,365792.3,7,7,1.0,7080.0,10057.1,295392.3,0.8075,7,0,0,0
wen,session_20260409_wen_25cd84,with_system,400648.2,9,9,1.0,5200.0,5897.8,347568.2,0.8675,8,1,1,1
wen,session_20260409_wen_383d13,with_system,1406294.8,13,13,1.0,4070.0,4916.2,1342384.8,0.9546,13,0,0,0
wen,session_20260409_wen_4cdaf5,with_system,350461.5,17,17,1.0,5310.0,5463.5,257581.5,0.735,17,0,0,0
wen,session_20260409_wen_4ea428,with_system,406383.2,12,11,0.9167,5620.0,7449.1,324443.2,0.7984,11,0,0,0
